Link,Time,Followers,Time,Followers,Token,Change,Change 3D,Change 7D,Change 2W,Change 1M
https://x.com/TokenizeXchange,2025-01-07 16:14:12,31700,2025-01-07 21:32:30,31800,TKX,0.31%,,,,
https://x.com/ethena_labs,2025-01-07 16:14:12,205200,2025-01-07 21:32:30,205500,ENA,0.15%,,,,
https://x.com/algorand,2025-01-07 16:14:12,347500,2025-01-07 21:32:30,347600,ALGO,0.03%,,,,
https://x.com/KaspaCurrency,2025-01-07 16:14:12,238600,2025-01-07 21:32:30,238700,KAS,0.04%,,,,
https://x.com/okx,2025-01-07 16:14:12,5600000,2025-01-07 21:32:30,5600000,OKB,0.00%,,,,
https://x.com/cosmos,2025-01-07 16:14:12,564000,2025-01-07 21:32:30,564100,ATOM,0.02%,,,,
https://x.com/Optimism,2025-01-07 16:14:12,722000,2025-01-07 21:32:30,722600,OP,0.08%,,,,
https://x.com/SonicLabs,2025-01-07 16:14:12,791400,2025-01-07 21:32:30,791900,S,0.06%,,,,
https://x.com/movementfdn,2025-01-07 16:14:12,193700,2025-01-07 21:32:30,194000,MOVE,0.15%,,,,
https://x.com/pmairca,2025-01-07 16:14:12,29400,2025-01-07 21:32:30,29500,AI16Z,0.34%,,,,
https://x.com/gatechain_io,2025-01-07 16:14:12,49200,2025-01-07 21:32:30,49200,GT,0.00%,,,,
https://x.com/OndoFinance,2025-01-07 16:14:12,214800,2025-01-07 21:32:30,214800,ONDO,0.00%,,,,
https://x.com/quant_network,2025-01-07 16:14:12,153500,2025-01-07 21:32:30,153500,QNT,0.00%,,,,
https://x.com/TheSandboxGame,2025-01-07 16:14:12,1100000,2025-01-07 21:32:30,1100000,SAND,0.00%,,,,
https://x.com/thorchain,2025-01-07 16:14:12,262300,2025-01-07 21:32:30,262400,RUNE,0.04%,,,,
https://x.com/raydiumprotocol,2025-01-07 16:14:12,364600,2025-01-07 21:32:30,364900,RAY,0.08%,,,,
https://x.com/PythNetwork,2025-01-07 16:14:12,261100,2025-01-07 21:32:30,261200,PYTH,0.04%,,,,
https://x.com/JupiterExchange,2025-01-07 16:14:12,470400,2025-01-07 21:32:30,470900,JUP,0.11%,,,,
https://x.com/curvefinance,2025-01-07 16:14:12,367300,2025-01-07 21:32:30,367400,CRV,0.03%,,,,
https://x.com/snek,2025-01-07 16:14:12,52100,2025-01-07 21:32:30,52100,SNEK,0.00%,,,,
https://x.com/dashpay,2025-01-07 16:14:12,430100,2025-01-07 21:32:30,430000,DASH,-0.02%,,,,
https://x.com/griffaindotcom,2025-01-07 16:14:12,88100,2025-01-07 21:32:30,89000,GRIFFAIN,1.01%,,,,
https://x.com/h_o_l_o_,2025-01-07 16:14:12,107100,2025-01-07 21:32:30,107100,HOT,0.00%,,,,
https://x.com/0xPolygon,,,2025-01-07 21:32:30,2000000,MATIC,100.00%,,,,
https://x.com/helium,,,2025-01-07 21:32:30,216400,HNT,,,,,
https://x.com/aerodromefi,,,2025-01-07 21:32:30,90000,AERO,,,,,
https://x.com/alt_layer,,,2025-01-07 21:32:30,669800,ALT,,,,,
https://x.com/PhalaNetwork,,,2025-01-07 21:32:30,134700,PHALA,,,,,
